[INFO] 2026-05-16 17:29:08 ===== NetWatch Session Started =====
[PKT] [17:29:08] ID:    1  SRC:203.0.113.5      DST:198.51.100.42    PORT:21    PROTO:HTTPS SIZE:985B
[PKT] [17:29:08] ID:    2  SRC:192.168.1.33     DST:10.0.0.7         PORT:110   PROTO:HTTPS SIZE:1405B
[PKT] [17:29:08] ID:    3  SRC:172.16.0.17      DST:192.168.1.2      PORT:21    PROTO:HTTP  SIZE:1472B
[PKT] [17:29:08] ID:    4  SRC:172.16.0.9       DST:10.0.0.5         PORT:3306  PROTO:TCP   SIZE:361B
[PKT] [17:29:08] ID:    5  SRC:198.51.100.42    DST:10.0.0.15        PORT:3389  PROTO:TCP   SIZE:957B
[PKT] [17:29:08] ID:    6  SRC:172.16.0.17      DST:192.168.1.4      PORT:443   PROTO:ICMP  SIZE:1412B
[PKT] [17:29:08] ID:    7  SRC:192.168.1.2      DST:10.0.0.15        PORT:22    PROTO:HTTPS SIZE:233B
[PKT] [17:29:08] ID:    8  SRC:192.168.1.10     DST:172.16.0.9       PORT:21    PROTO:ICMP  SIZE:222B
[PKT] [17:29:08] ID:    9  SRC:192.168.1.4      DST:10.0.0.22        PORT:8080  PROTO:HTTP  SIZE:1183B
[PKT] [17:29:08] ID:   10  SRC:172.16.0.17      DST:192.168.1.10     PORT:143   PROTO:HTTP  SIZE:693B
[CRITICAL] 2026-05-16 17:29:08 Blacklisted IP detected! SRC=192.168.1.99 -> DST=10.0.0.15
[PKT] [17:29:08] ID:   11  SRC:192.168.1.99     DST:10.0.0.15        PORT:80    PROTO:TCP   SIZE:1290B
[CRITICAL] 2026-05-16 17:29:09 Blacklisted IP detected! SRC=185.220.101.45 -> DST=192.168.1.2
[PKT] [17:29:09] ID:   12  SRC:185.220.101.45   DST:192.168.1.2      PORT:8080  PROTO:HTTPS SIZE:308B
[CRITICAL] 2026-05-16 17:29:09 Blacklisted IP detected! SRC=45.142.212.100 -> DST=172.16.0.3
[PKT] [17:29:09] ID:   13  SRC:45.142.212.100   DST:172.16.0.3       PORT:21    PROTO:ICMP  SIZE:1404B
[PKT] [17:29:09] ID:   14  SRC:192.168.1.33     DST:172.16.0.17      PORT:8080  PROTO:ICMP  SIZE:1149B
[PKT] [17:29:09] ID:   15  SRC:192.168.1.33     DST:192.168.1.2      PORT:3389  PROTO:ICMP  SIZE:1370B
[PKT] [17:29:09] ID:   16  SRC:172.16.0.3       DST:172.16.0.17      PORT:443   PROTO:HTTPS SIZE:816B
[PKT] [17:29:09] ID:   17  SRC:192.168.1.2      DST:198.51.100.42    PORT:80    PROTO:TCP   SIZE:1244B
[PKT] [17:29:09] ID:   18  SRC:192.168.1.20     DST:172.16.0.3       PORT:53    PROTO:UDP   SIZE:417B
[PKT] [17:29:09] ID:   19  SRC:192.168.1.4      DST:172.16.0.17      PORT:143   PROTO:HTTP  SIZE:91B
[PKT] [17:29:09] ID:   20  SRC:10.0.0.15        DST:192.168.1.10     PORT:21    PROTO:ICMP  SIZE:1479B
[PKT] [17:29:09] ID:   21  SRC:172.16.0.3       DST:10.0.0.7         PORT:3306  PROTO:UDP   SIZE:946B
[PKT] [17:29:09] ID:   22  SRC:192.168.1.4      DST:203.0.113.5      PORT:3389  PROTO:HTTPS SIZE:619B
[PKT] [17:29:09] ID:   23  SRC:172.16.0.9       DST:172.16.0.3       PORT:53    PROTO:HTTP  SIZE:1220B
[PKT] [17:29:09] ID:   24  SRC:192.168.1.4      DST:192.168.1.2      PORT:110   PROTO:UDP   SIZE:1170B
[PKT] [17:29:10] ID:   25  SRC:172.16.0.17      DST:198.51.100.42    PORT:8080  PROTO:ICMP  SIZE:391B
[PKT] [17:29:10] ID:   26  SRC:172.16.0.9       DST:198.51.100.42    PORT:143   PROTO:TCP   SIZE:912B
[CRITICAL] 2026-05-16 17:29:10 Blacklisted IP detected! SRC=192.168.1.99 -> DST=10.0.0.5
[PKT] [17:29:10] ID:   27  SRC:192.168.1.99     DST:10.0.0.5         PORT:110   PROTO:HTTPS SIZE:745B
[CRITICAL] 2026-05-16 17:29:10 Blacklisted IP detected! SRC=10.0.0.254 -> DST=172.16.0.17
[PKT] [17:29:10] ID:   28  SRC:10.0.0.254       DST:172.16.0.17      PORT:80    PROTO:HTTPS SIZE:879B
[CRITICAL] 2026-05-16 17:29:10 Blacklisted IP detected! SRC=185.220.101.45 -> DST=198.51.100.42
[PKT] [17:29:10] ID:   29  SRC:185.220.101.45   DST:198.51.100.42    PORT:25    PROTO:HTTPS SIZE:548B
[PKT] [17:29:10] ID:   30  SRC:192.168.1.33     DST:172.16.0.17      PORT:5432  PROTO:HTTPS SIZE:612B
[PKT] [17:29:10] ID:   31  SRC:192.168.1.10     DST:172.16.0.3       PORT:3389  PROTO:HTTP  SIZE:317B
[PKT] [17:29:10] ID:   32  SRC:172.16.0.9       DST:172.16.0.3       PORT:3389  PROTO:TCP   SIZE:921B
[PKT] [17:29:10] ID:   33  SRC:172.16.0.17      DST:192.168.1.4      PORT:80    PROTO:HTTPS SIZE:1112B
[PKT] [17:29:10] ID:   34  SRC:10.0.0.15        DST:172.16.0.17      PORT:53    PROTO:UDP   SIZE:1014B
[PKT] [17:29:10] ID:   35  SRC:192.168.1.10     DST:172.16.0.9       PORT:80    PROTO:ICMP  SIZE:591B
[PKT] [17:29:10] ID:   36  SRC:10.0.0.22        DST:198.51.100.42    PORT:443   PROTO:HTTPS SIZE:1139B
[PKT] [17:29:10] ID:   37  SRC:10.0.0.22        DST:192.168.1.20     PORT:21    PROTO:HTTP  SIZE:185B
[PKT] [17:29:10] ID:   38  SRC:192.168.1.10     DST:172.16.0.3       PORT:143   PROTO:TCP   SIZE:310B
[PKT] [17:29:11] ID:   39  SRC:10.0.0.5         DST:192.168.1.10     PORT:21    PROTO:HTTPS SIZE:692B
[PKT] [17:29:11] ID:   40  SRC:203.0.113.5      DST:172.16.0.17      PORT:53    PROTO:TCP   SIZE:787B
[PKT] [17:29:11] ID:   41  SRC:192.168.1.33     DST:198.51.100.1     PORT:21    PROTO:TCP   SIZE:1351B
[PKT] [17:29:11] ID:   42  SRC:10.0.0.7         DST:10.0.0.22        PORT:3389  PROTO:HTTP  SIZE:1492B
[PKT] [17:29:11] ID:   43  SRC:10.0.0.5         DST:192.168.1.2      PORT:22    PROTO:ICMP  SIZE:774B
[PKT] [17:29:11] ID:   44  SRC:192.168.1.10     DST:198.51.100.42    PORT:21    PROTO:UDP   SIZE:150B
[CRITICAL] 2026-05-16 17:29:11 Blacklisted IP detected! SRC=198.51.100.1 -> DST=192.168.1.4
[PKT] [17:29:11] ID:   45  SRC:198.51.100.1     DST:192.168.1.4      PORT:443   PROTO:HTTP  SIZE:622B
[PKT] [17:29:11] ID:   46  SRC:192.168.1.4      DST:192.168.1.10     PORT:143   PROTO:ICMP  SIZE:441B
[PKT] [17:29:11] ID:   47  SRC:192.168.1.20     DST:172.16.0.3       PORT:110   PROTO:UDP   SIZE:1432B
[PKT] [17:29:11] ID:   48  SRC:10.0.0.7         DST:10.0.0.22        PORT:443   PROTO:HTTP  SIZE:1362B
[PKT] [17:29:11] ID:   49  SRC:198.51.100.42    DST:10.0.0.15        PORT:143   PROTO:UDP   SIZE:1256B
